miRNA precursor/locus ID (miRBase),miRNA ID (miRBase),miRNA precursor/locus ID (MirGeneDB),oncogene (O)/tumor-suppressor (TS)
hsa-mir-100,miR-100,Hsa-Mir-10-P2d,TS
hsa-mir-101-1,miR-101,Hsa-Mir-101-P1-v1/v2,TS
hsa-mir-101-2,miR-101,Hsa-Mir-101-P2-v1/v2,TS
hsa-mir-103a-1,miR-103a,Hsa-Mir-103-P4,O
hsa-mir-103a-2,miR-103a,Hsa-Mir-103-P2,O
hsa-mir-106a,miR-106a,Hsa-Mir-17-P1c,
hsa-mir-106b,miR-106b,Hsa-Mir-17-P1d,O
hsa-mir-107,miR-107,Hsa-Mir-103-P1,
hsa-mir-10a,miR-10a,Hsa-Mir-10-P1c-v1/v2,
hsa-mir-10b,miR-10b,Hsa-Mir-10-P1b-v1/v2,
hsa-mir-1-1,miR-1,Hsa-Mir-1-P3,TS
hsa-mir-1-2,miR-1,Hsa-Mir-1-P1,TS
hsa-mir-122,miR-122,Hsa-Mir-122,
hsa-mir-124-1,miR-124,Hsa-Mir-124-P2-v1/v2,
hsa-mir-124-2,miR-124,Hsa-Mir-124-P1-v1/v2,
hsa-mir-124-3,miR-124,Hsa-Mir-124-P3-v1/v2,
hsa-mir-125a,miR-125a,Hsa-Mir-10-P3b,TS
hsa-mir-125b-1,miR-125b,Hsa-Mir-10-P3d,
hsa-mir-125b-2,miR-125b,Hsa-Mir-10-P3c,
hsa-mir-126,miR-126,Hsa-Mir-126-P2-v1/v2/v3,
hsa-mir-128-1,miR-128,Hsa-Mir-128-P2,
hsa-mir-128-2,miR-128,Hsa-Mir-128-P1,
hsa-mir-129-1,miR-129,Hsa-Mir-129-P2,TS
hsa-mir-129-2,miR-129,Hsa-Mir-129-P1,TS
hsa-mir-130a,miR-130a,Hsa-Mir-130-P1c,
hsa-mir-130b,miR-130b,Hsa-Mir-130-P4a,
hsa-mir-132,miR-132,Hsa-Mir-132-P1,
hsa-mir-133a-1,miR-133a,Hsa-Mir-133-P1-v1/v2,TS
hsa-mir-133a-2,miR-133a,Hsa-Mir-133-P3-v1/v2,TS
hsa-mir-133b,miR-133b,Hsa-Mir-133-P2-v1/v2,TS
hsa-mir-135a-1,miR-135a,Hsa-Mir-135-P1,
hsa-mir-135a-2,miR-135a,Hsa-Mir-135-P2,
hsa-mir-135b,miR-135b,Hsa-Mir-135-P4,O
hsa-mir-137,miR-137,Hsa-Mir-137-P1-v1/v2,
hsa-mir-138-1,miR-138,Hsa-Mir-138-P1,TS
hsa-mir-138-2,miR-138,Hsa-Mir-138-P2,TS
hsa-mir-139,miR-139,Hsa-Mir-139,TS
hsa-mir-140,miR-140,Hsa-Mir-140-P1-v1/v2,TS
hsa-mir-141,miR-141,Hsa-Mir-8-P2b,
hsa-mir-142,miR-142,Hsa-Mir-142-P1-v1/v2/v3/v4,
hsa-mir-143,miR-143,Hsa-Mir-143,TS
hsa-mir-144,miR-144,Hsa-Mir-144-v1/v2,TS
hsa-mir-145,miR-145,Hsa-Mir-145,TS
hsa-mir-146a,miR-146a,Hsa-Mir-146-P4,
hsa-mir-146b,miR-146b,Hsa-Mir-146-P1,
hsa-mir-148a,miR-148a,Hsa-Mir-148-P1,
hsa-mir-148b,miR-148b,Hsa-Mir-148-P4,
