NCBI Gene ID	Ensembl gene ID
1	ENSG00000121410
503538	ENSG00000268895
29974	ENSG00000148584
	
2	ENSG00000175899
144571	ENSG00000245105
144568	ENSG00000166535
	ENSG00000256661
	ENSG00000256904
3	ENSG00000256069
	
	
127550	ENSG00000184389
53947	ENSG00000128274
51146	ENSG00000118017
	
	
	
	
	
8086	ENSG00000094914
	
	
	
65985	ENSG00000081760
729522	ENSG00000250420
	
13	ENSG00000114771
344752	ENSG00000197953
101928142	ENSG00000242908
126767	ENSG00000188984
343066	ENSG00000204518
201651	ENSG00000240602
51166	ENSG00000109576
79719	ENSG00000103591
22848	ENSG00000115977
28971	ENSG00000087884
14	ENSG00000127837
15	ENSG00000129673
25980	ENSG00000131043
441376	ENSG00000205002
16	ENSG00000090861
106480683	ENSG00000249038
57505	ENSG00000124608
80755	ENSG00000266967
	ENSG00000234969
132949	ENSG00000157426
60496	ENSG00000149313
10157	ENSG00000008311
284837	ENSG00000215458
26574	ENSG00000275700
9625	ENSG00000181409
17	
103021294	ENSG00000281376
18	ENSG00000183044
	
	
	
	
	
19	ENSG00000165029
20	ENSG00000107331
21	ENSG00000167972
342293	ENSG00000257408
24	ENSG00000198691
23461	ENSG00000154265
23460	ENSG00000154262
10347	ENSG00000064687
10351	ENSG00000141338
10350	ENSG00000154258
	ENSG00000231749
10349	ENSG00000154263
79963	ENSG00000251595
26154	ENSG00000144452
154664	ENSG00000179869
400508	ENSG00000189149
650655	ENSG00000238098
5243	ENSG00000085563
	
	
5244	ENSG00000005471
340273	ENSG00000004846
10058	ENSG00000115657
22	ENSG00000131269
11194	ENSG00000197150
23457	ENSG00000150967
23456	ENSG00000135776
56476	ENSG00000274099
	
728248	ENSG00000261524
100132289	ENSG00000260053
8647	ENSG00000073734
4363	ENSG00000103222
1244	ENSG00000023839
8714	ENSG00000108846
10257	ENSG00000125257
10057	ENSG00000114770
	ENSG00000223882
368	ENSG00000091262
653190	ENSG00000256340
730013	ENSG00000255277
	
6833	ENSG00000006071
10060	ENSG00000069431
89845	ENSG00000124574
85320	ENSG00000121270
94160	ENSG00000140798
150000	ENSG00000243064
215	ENSG00000101986
23785	
26983	ENSG00000215151
26982	ENSG00000261233
26957	ENSG00000225293
642762	ENSG00000214330
225	ENSG00000173208
5825	ENSG00000117528
5826	ENSG00000119688
6059	ENSG00000164163
23	ENSG00000204574
107986587	
10061	ENSG00000033050
114483834	ENSG00000285292
344653	ENSG00000242159
100422059	ENSG00000228769
55324	ENSG00000161204
9619	ENSG00000160179
9429	ENSG00000118777
64137	ENSG00000172350
64240	ENSG00000138075
