gene_symbol,ensembl_gene_id,is_oncogene,is_tumor_suppressor,is_cosmic_tier_1
ABL1,ENSG00000097007,True,False,True
AKT1,ENSG00000142208,True,False,True
ALK,ENSG00000171094,True,False,True
AMER1,ENSG00000184675,False,True,True
APC,ENSG00000134982,False,True,True
AR,ENSG00000169083,True,False,True
ARID1A,ENSG00000117713,False,True,True
ASXL1,ENSG00000171456,False,True,True
ATM,ENSG00000149311,False,True,True
ATRX,ENSG00000085224,False,True,True
AXIN1,ENSG00000103126,False,True,True
BAP1,ENSG00000163930,False,True,True
BCL2,ENSG00000171791,True,False,True
BCOR,ENSG00000183337,False,True,True
BRAF,ENSG00000157764,True,False,True
BRCA1,ENSG00000012048,False,True,True
BRCA2,ENSG00000139618,False,True,True
CARD11,ENSG00000198286,True,False,True
CBL,ENSG00000110395,False,True,True
CDC73,ENSG00000134371,False,True,True
CDH1,ENSG00000039068,False,True,True
CDKN2A,ENSG00000147889,False,True,True
CEBPA,ENSG00000245848,False,True,True
CIC,ENSG00000079432,False,True,True
CREBBP,ENSG00000005339,False,True,True
CTNNB1,ENSG00000168036,True,False,True
DAXX,ENSG00000204209,False,True,True
DNMT3A,ENSG00000119772,False,True,True
EGFR,ENSG00000146648,True,False,True
EP300,ENSG00000100393,False,True,True
ERBB2,ENSG00000141736,True,False,True
EZH2,ENSG00000106462,True,True,True
FBXW7,ENSG00000109670,False,True,True
FGFR2,ENSG00000066468,True,False,True
FGFR3,ENSG00000068078,True,False,True
FLT3,ENSG00000122025,True,False,True
FOXL2,ENSG00000183770,True,True,True
GATA3,ENSG00000107485,True,True,True
GNA11,ENSG00000088256,True,False,True
GNAQ,ENSG00000156052,True,False,True
GNAS,ENSG00000087460,True,False,True
HNF1A,ENSG00000135100,False,True,True
HRAS,ENSG00000174775,True,False,True
IDH1,ENSG00000138413,True,False,True
IDH2,ENSG00000182054,True,False,True
JAK1,ENSG00000162434,True,True,True
JAK2,ENSG00000096968,True,False,True
JAK3,ENSG00000105639,True,False,True
KDM5C,ENSG00000126012,False,True,True
KDM6A,ENSG00000147050,False,True,True
KIT,ENSG00000157404,True,False,True
KMT2D,ENSG00000167548,False,True,True
KRAS,ENSG00000133703,True,False,True
MAP2K1,ENSG00000169032,True,False,True
