Gene stable ID,Transcript stable ID,Gene type,Gene name,miRBase accession,miRBase ID
ENSG00000223116,ENST00000411184,miRNA,AL157931.1,,
ENSG00000212057,ENST00000390768,miRNA,AL139318.1,,
ENSG00000252695,ENST00000516886,miRNA,MIR2276,MI0011282,hsa-mir-2276
ENSG00000266216,ENST00000582879,miRNA,AL359538.2,,
ENSG00000211508,ENST00000390174,miRNA,AL359538.1,,
ENSG00000263399,ENST00000582699,miRNA,MIR3170,MI0014201,hsa-mir-3170
ENSG00000221324,ENST00000408397,miRNA,AL590787.1,,
ENSG00000207719,ENST00000384986,miRNA,MIR623,MI0003637,hsa-mir-623
ENSG00000266207,ENST00000582220,miRNA,AL583784.1,,
ENSG00000263615,ENST00000583390,miRNA,MIR4306,MI0015836,hsa-mir-4306
ENSG00000221756,ENST00000408829,miRNA,AL159977.1,,
ENSG00000221670,ENST00000408743,miRNA,AL596092.1,,
ENSG00000265164,ENST00000581814,miRNA,MIR2681,MI0012062,hsa-mir-2681
ENSG00000264482,ENST00000577547,miRNA,MIR4705,MI0017338,hsa-mir-4705
ENSG00000266816,ENST00000579551,miRNA,AL356750.1,,
ENSG00000222643,ENST00000410711,miRNA,AL603632.1,,
ENSG00000239050,ENST00000459108,miRNA,AL354741.1,,
ENSG00000221316,ENST00000408389,miRNA,AL445204.1,,
ENSG00000221650,ENST00000408723,miRNA,MIR1267,MI0006404,hsa-mir-1267
ENSG00000221473,ENST00000408546,miRNA,AL138710.1,,
ENSG00000265841,ENST00000580069,miRNA,MIR548X,MI0014244,hsa-mir-548x
ENSG00000221041,ENST00000408114,miRNA,AP001537.1,,
ENSG00000221677,ENST00000408750,miRNA,AL161898.1,,
ENSG00000264989,ENST00000578654,miRNA,AL136302.1,,
ENSG00000221210,ENST00000408283,miRNA,AP001137.1,,
ENSG00000264726,ENST00000582601,miRNA,AL162711.1,,
ENSG00000264288,ENST00000577451,miRNA,AL138999.1,,
ENSG00000212051,ENST00000390762,miRNA,MIR320C2,MI0008191,hsa-mir-320c-2
ENSG00000263663,ENST00000408071,miRNA,AL161891.1,,
ENSG00000264539,ENST00000582191,miRNA,MIR548AR,MI0019131,hsa-mir-548ar
ENSG00000265450,ENST00000580432,miRNA,MIR4502,MI0016865,hsa-mir-4502
ENSG00000221519,ENST00000408592,miRNA,AL390071.1,,
ENSG00000266047,ENST00000581522,miRNA,AL139377.1,,
ENSG00000222602,ENST00000410670,miRNA,AL136160.1,,
ENSG00000221100,ENST00000408173,miRNA,AL138706.1,,
ENSG00000212049,ENST00000390760,miRNA,AL590007.1,,
ENSG00000216014,ENST00000401195,miRNA,AL512505.1,,
ENSG00000264171,ENST00000583252,miRNA,MIR4305,MI0015835,hsa-mir-4305
ENSG00000211491,ENST00000390157,miRNA,MIR320D1,MI0008190,hsa-mir-320d-1
ENSG00000207652,ENST00000384919,miRNA,MIR621,MI0003635,hsa-mir-621
ENSG00000264226,ENST00000577639,miRNA,MIR3168,MI0014199,hsa-mir-3168
ENSG00000263907,ENST00000584422,miRNA,AL354833.1,,
ENSG00000263928,ENST00000582215,miRNA,AL354833.2,,
ENSG00000264042,ENST00000582164,miRNA,AL354833.3,,
ENSG00000264190,ENST00000583027,miRNA,MIR5006,MI0017873,hsa-mir-5006
ENSG00000265679,ENST00000582753,miRNA,AL139328.1,,
ENSG00000252846,ENST00000517037,miRNA,AC090206.1,,
ENSG00000221163,ENST00000408236,miRNA,AL138963.1,,
ENSG00000222391,ENST00000410459,miRNA,AL137118.1,,
ENSG00000265585,ENST00000580512,miRNA,AL161421.1,,
ENSG00000265730,ENST00000580562,miRNA,AC090349.1,,
ENSG00000212085,ENST00000390796,miRNA,AC105245.1,,
ENSG00000264526,ENST00000579259,miRNA,AL136123.1,,
ENSG00000264864,ENST00000579844,miRNA,MIR3613,MI0016003,hsa-mir-3613
ENSG00000221731,ENST00000408804,miRNA,AC091321.1,,
ENSG00000238660,ENST00000459545,miRNA,AP001340.1,,
ENSG00000208006,ENST00000385271,miRNA,MIR16-1,MI0000070,hsa-mir-16-1
ENSG00000221198,ENST00000408271,miRNA,AL138696.1,,
ENSG00000265063,ENST00000582018,miRNA,AC009831.1,,
ENSG00000221621,ENST00000408694,miRNA,AC009835.1,,
ENSG00000266133,ENST00000584048,miRNA,MIR4759,MI0017400,hsa-mir-4759
ENSG00000266072,ENST00000577722,miRNA,MIR5693,MI0019300,hsa-mir-5693
ENSG00000265146,ENST00000577312,miRNA,MIR4752,MI0017391,hsa-mir-4752
ENSG00000266611,ENST00000577728,miRNA,MIR4703,MI0017336,hsa-mir-4703
ENSG00000265031,ENST00000581165,miRNA,hsa-mir-1273e,MI0016059,hsa-mir-1273e
ENSG00000266804,ENST00000583033,miRNA,AC234063.1,,
ENSG00000265387,ENST00000584521,miRNA,MIR3064,MI0017375,hsa-mir-3064
ENSG00000265492,ENST00000581629,miRNA,MIR5047,MI0017932,hsa-mir-5047
ENSG00000263516,ENST00000579747,miRNA,AC009994.1,,
ENSG00000264256,ENST00000582049,miRNA,AC025166.1,,
ENSG00000221409,ENST00000408482,miRNA,AC068506.1,,
ENSG00000207797,ENST00000385062,miRNA,MIR187,MI0000274,hsa-mir-187
ENSG00000265641,ENST00000584497,miRNA,MIR3929,MI0016439,hsa-mir-3929
ENSG00000266530,ENST00000580543,miRNA,MIR4318,MI0015847,hsa-mir-4318
ENSG00000266148,ENST00000580941,miRNA,MIR5583-1,MI0019140,hsa-mir-5583-2
ENSG00000266148,ENST00000580941,miRNA,MIR5583-1,MI0019139,hsa-mir-5583-1
ENSG00000207766,ENST00000385032,miRNA,MIR626,MI0003640,hsa-mir-626
ENSG00000265557,ENST00000581649,miRNA,CT867977.1,,
ENSG00000264850,ENST00000582950,miRNA,MIR4310,MI0015840,hsa-mir-4310
ENSG00000221476,ENST00000408549,miRNA,MIR1827,MI0008195,hsa-mir-1827
ENSG00000211579,ENST00000390224,miRNA,MIR759,MI0004065,hsa-mir-759
ENSG00000220990,ENST00000408063,miRNA,AL450423.1,,
ENSG00000207712,ENST00000384979,miRNA,MIR627,MI0003641,hsa-mir-627
ENSG00000239022,ENST00000459291,miRNA,AC069082.1,,
ENSG00000266699,ENST00000584726,miRNA,AL512655.1,,
ENSG00000264387,ENST00000583098,miRNA,MIR5007,MI0017874,hsa-mir-5007
ENSG00000207695,ENST00000384962,miRNA,MIR184,MI0000481,hsa-mir-184
ENSG00000266543,ENST00000581752,miRNA,AC027811.1,,
ENSG00000265329,ENST00000577688,miRNA,MIR4758,MI0017399,hsa-mir-4758
ENSG00000212054,ENST00000390765,miRNA,AL354764.1,,
ENSG00000266663,ENST00000578032,miRNA,MIR3169,MI0014200,hsa-mir-3169
ENSG00000212007,ENST00000390718,miRNA,AL596329.1,,
ENSG00000199017,ENST00000362147,miRNA,MIR1-1,MI0000651,hsa-mir-1-1
ENSG00000207764,ENST00000347538,miRNA,MIR133A2,MI0000451,hsa-mir-133a-2
ENSG00000265957,ENST00000577285,miRNA,MIR4319,MI0015848,hsa-mir-4319
ENSG00000221685,ENST00000408758,miRNA,AL354775.1,,
ENSG00000263581,ENST00000579776,miRNA,MIR548X2,MI0016833,hsa-mir-548x-2
